id,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
188,PCG,PG&E Corporation,Utilities,San Francisco,California,2024-05-17,18,18,0.05,12617100,$48.64 B
189,EL,Estée Lauder Companies (The),Consumer Staples,New York City,New York,2024-05-17,138,134,-2.42,2907400,$48.32 B
190,OKE,ONEOK,Energy,Tulsa,Oklahoma,2024-05-17,82,82,0.01,2176100,$48.23 B
191,O,Realty Income,Real Estate,San Diego,California,2024-05-17,55,55,-0.29,4270100,$48.01 B
192,DLR,Digital Realty,Real Estate,Austin,Texas,2024-05-17,145,143,-1.11,1556000,$47.62 B
193,ADSK,Autodesk,Information Technology,San Francisco,California,2024-05-17,220,221,0.14,1568000,$47.32 B
194,FTNT,Fortinet,Information Technology,Sunnyvale,California,2024-05-17,61,61,0.64,2798800,$46.93 B
195,STZ,Constellation Brands,Consumer Staples,Victor,New York,2024-05-17,255,255,-0.04,1415800,$46.74 B
196,JCI,Johnson Controls,Industrials,Cork,Ireland,2024-05-17,68,69,1.2,5002700,$46.50 B
197,GWW,W. W. Grainger,Industrials,Lake Forest,Illinois,2024-05-17,949,945,-0.36,197100,$46.46 B
198,TEL,TE Connectivity,Information Technology,Schaffhausen,Switzerland,2024-05-17,151,151,-0.37,1029300,$46.24 B
199,URI,United Rentals,Industrials,Stamford,Connecticut,2024-05-17,689,685,-0.52,362900,$46.06 B
200,LEN,Lennar,Consumer Discretionary,Miami,Florida,2024-05-17,165,165,0.13,1122700,$45.75 B
201,KDP,Keurig Dr Pepper,Consumer Staples,Burlington,Massachusetts,2024-05-17,34,33,-0.94,6118900,$45.75 B
202,PAYX,Paychex,Industrials,Penfield,New York,2024-05-17,125,125,0.44,2414700,$45.23 B
203,KMB,Kimberly-Clark,Consumer Staples,Irving,Texas,2024-05-17,134,134,-0.33,1418800,$45.22 B
204,A,Agilent Technologies,Health Care,Santa Clara,California,2024-05-17,154,154,-0.18,1830500,$45.20 B
205,IDXX,Idexx Laboratories,Health Care,Westbrook,Maine,2024-05-17,540,543,0.46,446000,$44.88 B
206,D,Dominion Energy,Utilities,Richmond,Virginia,2024-05-17,53,53,0.21,2897300,$44.84 B
207,ALL,Allstate,Financials,Northbrook,Illinois,2024-05-17,170,169,-0.61,988200,$44.74 B
208,CCI,Crown Castle,Real Estate,Houston,Texas,2024-05-17,104,102,-1.47,3284900,$44.71 B
209,GEV,GE Vernova,Industrials,Cambridge,Massachusetts,2024-05-17,166,162,-2.55,1928700,$44.57 B
210,BK,Bank of New York Mellon,Financials,New York City,New York,2024-05-17,59,59,0.75,2903200,$44.50 B
211,ROST,Ross Stores,Consumer Discretionary,Dublin,California,2024-05-17,134,132,-1.25,3604600,$44.37 B
212,COR,Cencora,Health Care,Conshohocken,Pennsylvania,2024-05-17,222,222,-0.28,1001900,$44.30 B
213,KMI,Kinder Morgan,Energy,Houston,Texas,2024-05-17,19,19,0.36,11990100,$43.72 B
214,KHC,Kraft Heinz,Consumer Staples,Chicago,"Illinois; Pittsburgh, Pennsylvania",2024-05-17,35,36,0.14,6114300,$43.71 B
215,FIS,Fidelity National Information Services,Financials,Jacksonville,Florida,2024-05-17,78,78,0.46,4670400,$43.59 B
216,PRU,Prudential Financial,Financials,Newark,New Jersey,2024-05-17,120,121,0.6,1691300,$43.56 B
217,AMP,Ameriprise Financial,Financials,Minneapolis,Minnesota,2024-05-17,438,434,-0.98,931800,$43.12 B
218,HUM,Humana,Health Care,Louisville,Kentucky,2024-05-17,355,356,0.17,1435600,$42.92 B
219,LHX,L3Harris,Industrials,Melbourne,Florida,2024-05-17,222,223,0.38,489600,$42.41 B
220,LULU,Lululemon Athletica,Consumer Discretionary,Vancouver,Canada,2024-05-17,338,334,-1.12,2582600,$42.21 B
221,IQV,IQVIA,Health Care,Durham,North Carolina,2024-05-17,235,231,-1.63,715300,$42.12 B
222,HSY,Hershey's,Consumer Staples,Hershey,Pennsylvania,2024-05-17,209,207,-1.13,1180700,$41.87 B
223,CNC,Centene Corporation,Health Care,St. Louis,Missouri,2024-05-17,77,78,0.59,2640900,$41.66 B
224,DOW,Dow Inc.,Materials,Midland,Michigan,2024-05-17,59,59,0.22,2668700,$41.62 B
225,NUE,Nucor,Materials,Charlotte,North Carolina,2024-05-17,174,172,-1.53,1245000,$41.27 B
226,GIS,General Mills,Consumer Staples,Golden Valley,Minnesota,2024-05-17,71,71,-0.29,2753000,$40.22 B
227,MSCI,MSCI,Financials,New York City,New York,2024-05-17,500,505,0.89,875000,$40.03 B
228,YUM,Yum! Brands,Consumer Discretionary,Louisville,Kentucky,2024-05-17,141,141,0.11,1346400,$39.90 B
229,ODFL,Old Dominion,Industrials,Thomasville,North Carolina,2024-05-17,182,183,0.49,2175200,$39.78 B
230,KR,Kroger,Consumer Staples,Cincinnati,Ohio,2024-05-17,54,54,-0.57,10570800,$39.44 B
231,CTVA,Corteva,Materials,Indianapolis,Indiana,2024-05-17,56,56,0.44,4645600,$39.34 B
232,CHTR,Charter Communications,Communication Services,Stamford,Connecticut,2024-05-17,277,273,-1.79,749800,$39.32 B
233,KVUE,Kenvue,Consumer Staples,Skillman,New Jersey,2024-05-17,20,20,-1.21,30987800,$39.20 B
234,OTIS,Otis Worldwide,Industrials,Farmington,Connecticut,2024-05-17,96,96,-0.01,1627100,$39.13 B
235,CMI,Cummins,Industrials,Columbus,Indiana,2024-05-17,288,285,-1.05,1060300,$39.06 B
236,PWR,Quanta Services,Industrials,Houston,Texas,2024-05-17,266,264,-0.91,795500,$38.70 B
237,AME,Ametek,Industrials,Berwyn,Pennsylvania,2024-05-17,168,166,-0.91,1678600,$38.61 B
238,EXC,Exelon,Utilities,Chicago,Illinois,2024-05-17,38,38,-0.03,6088400,$38.58 B
239,FAST,Fastenal,Industrials,Winona,Minnesota,2024-05-17,66,66,-0.3,2835500,$38.03 B
240,ACGL,Arch Capital Group,Financials,Hamilton,Bermuda,2024-05-17,99,100,1.73,1484800,$37.92 B
241,SYY,Sysco,Consumer Staples,Houston,Texas,2024-05-17,76,75,-0.45,3781600,$37.80 B
242,IR,Ingersoll Rand,Industrials,Davidson,North Carolina,2024-05-17,91,92,0.72,3160700,$37.38 B
243,GEHC,GE HealthCare,Health Care,Chicago,Illinois,2024-05-17,81,81,1.06,1303800,$37.37 B
244,PEG,Public Service Enterprise Group,Utilities,Newark,New Jersey,2024-05-17,74,74,0.2,1906700,$37.13 B
245,RCL,Royal Caribbean Group,Consumer Discretionary,Miami,Florida,2024-05-17,143,141,-0.87,1286300,$36.52 B
