Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
15,WMT,Walmart,Consumer Staples,"Bentonville, Arkansas",2023-12-22,154,155,0.48532171373305827,6412947,9978466,$418.35 B
16,XOM,ExxonMobil,Energy,"Irving, Texas",2023-12-22,102,102,-0.006500225350234393,15864347,24457372,$411.29 B
17,MA,Mastercard,Financials,"Harrison, New York",2023-12-22,422,425,0.534424466791512,1953378,2761117,$399.14 B
18,JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",2023-12-22,155,155,0.040681391749218296,5224167,8197857,$374.14 B
19,HD,Home Depot (The),Consumer Discretionary,"Atlanta, Georgia",2023-12-22,352,352,0.04923634828336489,3398352,4329668,$352.12 B
20,PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",2023-12-22,145,145,0.48919170577357685,5266624,7770444,$342.31 B
21,COST,Costco,Consumer Staples,"Issaquah, Washington",2023-12-22,670,674,0.6160232877304704,3590831,2945966,$295.28 B
22,ORCL,Oracle Corporation,Information Technology,"Austin, Texas",2023-12-22,104,105,0.868484982211541,8910290,16141912,$290.84 B
23,CVX,Chevron Corporation,Energy,"San Ramon, California",2023-12-22,150,151,0.24727229018204405,7938337,12644320,$288.10 B
24,ADBE,Adobe Inc.,Information Technology,"San Jose, California",2023-12-22,597,603,1.0512024340638502,3515242,4124840,$276.47 B
25,ABBV,AbbVie,Health Care,"North Chicago, Illinois",2023-12-22,153,153,0.004343278557777084,3994324,6213928,$271.31 B
26,MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey",2023-12-22,106,106,0.003129640408626219,7953194,10160154,$270.89 B
27,BAC,Bank of America,Financials,"Charlotte, North Carolina",2023-12-22,33,33,0.5043957985445022,32979863,47422632,$266.57 B
28,CRM,Salesforce,Information Technology,"San Francisco, California",2023-12-22,262,264,0.6874608374881184,4648592,7124285,$256.00 B
29,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",2023-12-22,58,58,-0.1503094589324645,12006290,17652836,$251.75 B
30,PEP,PepsiCo,Consumer Staples,"Purchase, New York",2023-12-22,167,167,0.18109165430677596,3872058,5966374,$229.14 B
31,AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California",2023-12-22,138,139,0.32633274017194136,44167891,67452073,$224.60 B
32,NFLX,Netflix,Communication Services,"Los Gatos, California",2023-12-22,485,493,1.614607627467245,4106856,4529220,$218.58 B
33,ACN,Accenture,Information Technology,"Dublin, Ireland",2023-12-22,340,342,0.5725061120345879,2550537,2178281,$215.48 B
34,MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois",2023-12-22,290,290,0.2568836069310635,1763233,3298403,$211.51 B
35,CSCO,Cisco,Information Technology,"San Jose, California",2023-12-22,50,50,0.20610677226588492,14065096,21864120,$204.45 B
36,TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",2023-12-22,523,525,0.3369112294439753,1576125,1953203,$204.38 B
37,LIN,Linde plc,Materials,"Guildford, United Kingdom",2023-12-22,411,410,-0.24176969723395267,1175617,2421326,$199.19 B
38,INTC,Intel,Information Technology,"Santa Clara, California",2023-12-22,46,46,0.46253239005739694,24703623,41026409,$196.65 B
39,ABT,Abbott,Health Care,"North Chicago, Illinois",2023-12-22,107,108,0.4202178295395616,3931717,5389984,$188.51 B
40,NKE,"Nike, Inc.",Consumer Discretionary,"Washington County, Oregon",2023-12-22,121,122,0.676676278179106,6145470,7859043,$187.16 B
41,WFC,Wells Fargo,Financials,"San Francisco, California",2023-12-22,49,50,0.21679725386582585,15877711,21738489,$183.35 B
42,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",2023-12-22,44,44,0.17541285975239615,12757307,21934098,$180.46 B
43,TMUS,T-Mobile US,Communication Services,"Bellevue, Washington",2023-12-22,156,155,-0.1695927436961405,2522301,4670740,$180.35 B
44,INTU,Intuit,Information Technology,"Mountain View, California",2023-12-22,614,621,1.0976323634276848,1103962,1475265,$175.12 B
45,DHR,Danaher Corporation,Health Care,"Washington, D.C.",2023-12-22,228,229,0.395242746601662,2162389,3199503,$171.23 B
46,DIS,Walt Disney,Communication Services,"Burbank, California",2023-12-22,92,93,0.6030256254601536,7121463,10902791,$171.14 B
47,BA,Boeing,Industrials,"Arlington, Virginia",2023-12-22,261,262,0.46816172120508714,4669808,6407679,$159.53 B
48,QCOM,Qualcomm,Information Technology,"San Diego, California",2023-12-22,142,142,0.28369592053222176,5110683,8766773,$158.92 B
49,VZ,Verizon,Communication Services,"New York City, New York",2023-12-22,37,37,0.06647487009843983,15478137,22953585,$158.52 B
50,PFE,Pfizer,Health Care,"New York City, New York",2023-12-22,27,27,1.0195390605848513,52721424,66776390,$158.13 B
51,BX,Blackstone,Financials,"New York City, New York",2023-12-22,127,127,0.08618511901229446,3737612,4391112,$155.84 B
52,TXN,Texas Instruments,Information Technology,"Dallas, Texas",2023-12-22,168,168,-0.0970739043718656,3554063,6317978,$152.91 B
53,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",2023-12-22,288,292,1.2515179980620401,2648773,3443454,$151.42 B
54,MS,Morgan Stanley,Financials,"New York City, New York",2023-12-22,91,91,0.2463172271216724,6622365,9004998,$151.12 B
55,AMGN,Amgen,Health Care,"Thousand Oaks, California",2023-12-22,277,277,-0.21474926227767363,1745042,2689136,$148.77 B
56,IBM,IBM,Information Technology,"Armonk, New York",2023-12-22,161,162,0.14423724933566637,2866353,4935282,$147.72 B
57,UNP,Union Pacific Corporation,Industrials,"Omaha, Nebraska",2023-12-22,241,241,0.07590226170799068,1952913,2845245,$147.11 B
58,PM,Philip Morris International,Consumer Staples,"New York City, New York",2023-12-22,94,94,-0.05284535025021951,3264835,5967172,$145.29 B
59,NOW,ServiceNow,Information Technology,"Santa Clara, California",2023-12-22,703,705,0.16668127185864903,770156,1197221,$144.41 B
60,COP,ConocoPhillips,Energy,"Houston, Texas",2023-12-22,115,116,0.6443255728283915,5281849,8231961,$140.67 B
61,SPGI,S&P Global,Financials,"New York City, New York",2023-12-22,435,435,-0.06422825037765743,880750,1396623,$137.51 B
62,UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia",2023-12-22,160,161,0.22498376938287606,3384660,3883427,$136.50 B
63,GE,General Electric,Industrials,"Boston, Massachusetts",2023-12-22,124,124,0.5498935292194047,3408831,4545036,$136.31 B
64,HON,Honeywell,Industrials,"Charlotte, North Carolina",2023-12-22,204,204,0.43936589631608913,2085332,3218052,$135.32 B
65,AMAT,Applied Materials,Information Technology,"Santa Clara, California",2023-12-22,160,161,0.4562102050381475,3665763,5458162,$134.43 B
66,AXP,American Express,Financials,"New York City, New York",2023-12-22,183,184,0.5259973060028099,2547228,3654211,$134.32 B
67,LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina",2023-12-22,224,224,-0.0594102411199182,2497145,3831861,$128.35 B
68,UBER,Uber,Industrials,"San Francisco, California",2023-12-22,61,61,0.2157717708905797,22130320,58892441,$127.55 B
69,NEE,NextEra Energy,Utilities,"Juno Beach, Florida",2023-12-22,61,61,-0.44442019526511145,8406180,12361275,$125.48 B
70,GS,Goldman Sachs,Financials,"New York City, New York",2023-12-22,379,381,0.4868170367995639,1792287,2563369,$125.46 B
71,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",2023-12-22,69,69,-0.889920072472156,9209632,12193286,$125.06 B
72,PLD,Prologis,Real Estate,"San Francisco, California",2023-12-22,134,133,-0.5988479394416789,2379829,4586492,$123.53 B
73,BKNG,Booking Holdings,Consumer Discretionary,"Norwalk, Connecticut",2023-12-22,3502,3508,0.1723537750888054,178210,274750,$123.53 B
74,BLK,BlackRock,Financials,"New York City, New York",2023-12-22,803,799,-0.4819914732609158,614598,855230,$119.18 B
75,RTX,RTX Corporation,Industrials,"Waltham, Massachusetts",2023-12-22,81,81,1.0021398528079517,6500861,7462054,$118.80 B
76,T,AT&T,Communication Services,"Dallas, Texas",2023-12-22,16,16,0.06552280867850595,24829003,42945035,$118.51 B
77,ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California",2023-12-22,329,331,0.6466317111417694,1656334,1643538,$116.19 B
78,SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan",2023-12-22,291,292,0.24979964880537658,1039159,1455941,$111.58 B
79,LMT,Lockheed Martin,Industrials,"Bethesda, Maryland",2023-12-22,446,447,0.30334258036575734,701974,1211772,$111.10 B
80,DE,John Deere,Industrials,"Moline, Illinois",2023-12-22,388,390,0.45801757298430235,1344899,2255320,$110.50 B
81,SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington",2023-12-22,96,96,-0.009327324736561502,5342265,9077171,$109.48 B
82,ELV,Elevance Health,Health Care,"Indianapolis, Indiana",2023-12-22,467,466,-0.1490172717166914,1144788,1211942,$109.32 B
83,MDT,Medtronic,Health Care,"Dublin, Ireland",2023-12-22,82,82,-0.07693966793688334,4600981,6141342,$108.59 B
84,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",2023-12-22,51,51,0.28173654856524355,11210377,16041645,$105.39 B
85,VRTX,Vertex Pharmaceuticals,Health Care,"Cambridge, Massachusetts",2023-12-22,405,404,-0.23859621953031124,1230782,1889830,$104.30 B
86,TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts",2023-12-22,90,90,0.6736277198744289,3448366,5082319,$103.60 B
87,LRCX,Lam Research,Information Technology,"Fremont, California",2023-12-22,773,776,0.45261421258563883,683730,1027029,$102.70 B
88,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",2023-12-22,75,76,1.194628499554815,7253593,9660809,$100.38 B
89,AMT,American Tower,Real Estate,"Boston, Massachusetts",2023-12-22,211,211,-0.0740135390878161,1535827,2185637,$99.25 B
90,GILD,Gilead Sciences,Health Care,"Foster City, California",2023-12-22,79,79,-0.8087724263945686,4708872,7762847,$98.44 B
91,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",2023-12-22,198,197,-0.5631751168970853,2013681,3279141,$97.80 B
92,C,Citigroup,Financials,"New York City, New York",2023-12-22,50,50,0.8883436984388929,15487804,22035642,$97.67 B
93,ADP,Automated Data Processing,Industrials,"Roseland, New Jersey",2023-12-22,234,234,-0.1723863654175276,1085957,1975891,$96.67 B
94,PANW,Palo Alto Networks,Information Technology,"Santa Clara, California",2023-12-22,305,307,0.48185230581735344,2796705,4396446,$96.35 B
95,MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois",2023-12-22,70,70,0.10589159947590233,4009841,6155704,$96.13 B
96,ETN,Eaton Corporation,Industrials,"Dublin, Ireland",2023-12-22,237,237,-0.06728685736110263,1025858,1636023,$94.82 B
97,MMC,Marsh McLennan,Financials,"New York City, New York",2023-12-22,188,188,0.15770344716694387,1643228,1849562,$92.56 B
