Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
156,SPG,Simon Property Group,Real Estate,Indianapolis,Indiana,2024-03-01,147,150,1.69,925511,$56.39 B
157,MSI,Motorola Solutions,Information Technology,Chicago,Illinois,2024-03-01,330,335,1.41,463243,$55.75 B
158,PXD,Pioneer Natural Resources,Energy,Irving,Texas,2024-03-01,234,237,1.07,2191378,$55.43 B
159,FCX,Freeport-McMoRan,Materials,Phoenix,Arizona,2024-03-01,37,37,-0.03,10199758,$54.41 B
160,CEG,Constellation Energy,Utilities,Baltimore,Maryland,2024-03-01,167,169,1.77,4553975,$54.29 B
161,OXY,Occidental Petroleum,Energy,Houston,Texas,2024-03-01,60,61,0.63,6984730,$53.97 B
162,FTNT,Fortinet,Information Technology,Sunnyvale,California,2024-03-01,69,70,1.95,4683756,$53.75 B
163,EL,Estée Lauder Companies (The),Consumer Staples,New York City,New York,2024-03-01,146,148,1.69,2154626,$53.35 B
164,AJG,Arthur J. Gallagher & Co.,Financials,Rolling Meadows,Illinois,2024-03-01,243,243,-0.07,432494,$52.80 B
165,WELL,Welltower,Real Estate,Toledo,Ohio,2024-03-01,91,92,0.93,1978423,$52.75 B
166,AZO,AutoZone,Consumer Discretionary,Memphis,Tennessee,2024-03-01,3005,3035,1.01,134072,$52.56 B
167,APD,Air Products and Chemicals,Materials,Allentown,Pennsylvania,2024-03-01,233,236,0.98,1207999,$52.46 B
168,COF,Capital One,Financials,Tysons Corner,Virginia,2024-03-01,137,136,-0.69,2236944,$52.02 B
169,HLT,Hilton Worldwide,Consumer Discretionary,Tysons Corner,Virginia,2024-03-01,203,204,0.46,1272589,$51.66 B
170,CPRT,Copart,Industrials,Dallas,Texas,2024-03-01,53,53,1.04,4680745,$51.45 B
171,EW,Edwards Lifesciences,Health Care,Irvine,California,2024-03-01,84,85,0.97,3173207,$51.24 B
172,MMM,3M,Industrials,Saint Paul,Minnesota,2024-03-01,92,91,-0.2,3395512,$50.77 B
173,DHI,DR Horton,Consumer Discretionary,Arlington,Texas,2024-03-01,149,152,2.32,1988414,$50.76 B
174,CARR,Carrier Global,Industrials,Palm Beach Gardens,Florida,2024-03-01,55,56,2.25,5165681,$50.72 B
175,MET,MetLife,Financials,New York City,New York,2024-03-01,69,69,-0.03,2816668,$50.42 B
176,ROST,Ross Stores,Consumer Discretionary,Dublin,California,2024-03-01,148,149,0.61,1416643,$50.38 B
177,TRV,Travelers Companies (The),Financials,New York City,New York,2024-03-01,220,218,-0.88,1110924,$50.14 B
178,PSA,Public Storage,Real Estate,Glendale,California,2024-03-01,282,283,0.39,758608,$49.90 B
179,AIG,American International Group,Financials,New York City,New York,2024-03-01,72,72,0.0,4366790,$49.60 B
180,F,Ford Motor Company,Consumer Discretionary,Dearborn,Michigan,2024-03-01,12,12,-0.64,47782149,$49.47 B
181,ODFL,Old Dominion,Industrials,Thomasville,North Carolina,2024-03-01,443,444,0.16,929709,$48.35 B
182,GWW,W. W. Grainger,Industrials,Lake Forest,Illinois,2024-03-01,973,980,0.8,192976,$48.23 B
183,CCI,Crown Castle,Real Estate,Houston,Texas,2024-03-01,109,111,1.37,1889348,$48.22 B
184,DLR,Digital Realty,Real Estate,Austin,Texas,2024-03-01,146,150,2.78,2290023,$48.00 B
185,IDXX,Idexx Laboratories,Health Care,Westbrook,Maine,2024-03-01,575,576,0.29,361767,$47.93 B
186,VLO,Valero Energy,Energy,San Antonio,Texas,2024-03-01,142,143,0.58,2002667,$47.64 B
187,COR,Cencora,Health Care,Conshohocken,Pennsylvania,2024-03-01,236,237,0.11,1128879,$47.61 B
188,GM,General Motors,Consumer Discretionary,Detroit,Michigan,2024-03-01,40,40,0.45,13046407,$47.32 B
189,URI,United Rentals,Industrials,Stamford,Connecticut,2024-03-01,693,700,1.03,367113,$47.07 B
190,TFC,Truist,Financials,Charlotte,North Carolina,2024-03-01,34,35,0.83,14112240,$47.03 B
191,MCHP,Microchip Technology,Information Technology,Chandler,Arizona,2024-03-01,84,87,2.72,5946487,$47.01 B
192,DXCM,Dexcom,Health Care,San Diego,California,2024-03-01,114,121,6.44,4427119,$46.93 B
193,NUE,Nucor,Materials,Charlotte,North Carolina,2024-03-01,192,190,-0.9,1419901,$46.88 B
194,AFL,Aflac,Financials,Columbus,Georgia,2024-03-01,80,80,-0.16,2066346,$46.41 B
195,IQV,IQVIA,Health Care,Durham,North Carolina,2024-03-01,246,252,2.42,1108901,$45.95 B
196,STZ,Constellation Brands,Consumer Staples,Victor,New York,2024-03-01,247,250,0.91,1510828,$45.70 B
197,HES,Hess Corporation,Energy,New York City,New York,2024-03-01,147,148,0.81,3368450,$45.52 B
198,O,Realty Income,Real Estate,San Diego,California,2024-03-01,52,52,0.46,8943737,$44.99 B
199,LEN,Lennar,Consumer Discretionary,Miami,Florida,2024-03-01,158,161,1.87,1766591,$44.96 B
200,MSCI,MSCI,Financials,New York City,New York,2024-03-01,558,565,1.25,260578,$44.72 B
201,AEP,American Electric Power,Utilities,Columbus,Ohio,2024-03-01,85,84,-0.23,9445909,$44.72 B
202,TEL,TE Connectivity,Information Technology,Schaffhausen,Switzerland,2024-03-01,143,143,0.31,1594760,$44.39 B
203,WMB,Williams Companies,Energy,Tulsa,Oklahoma,2024-03-01,36,36,0.89,8114218,$44.29 B
204,PAYX,Paychex,Industrials,Penfield,New York,2024-03-01,122,122,0.1,1016509,$43.98 B
205,SRE,Sempra Energy,Utilities,San Diego,California,2024-03-01,70,69,-0.96,2292395,$43.97 B
206,OKE,ONEOK,Energy,Tulsa,Oklahoma,2024-03-01,75,75,-0.45,2462245,$43.81 B
207,PCG,PG&E Corporation,Utilities,San Francisco,California,2024-03-01,16,16,-0.3,10432427,$43.35 B
208,KHC,Kraft Heinz,Consumer Staples,Chicago,"Illinois; Pittsburgh, Pennsylvania",2024-03-01,35,35,-0.4,6016157,$42.62 B
209,CHTR,Charter Communications,Communication Services,Stamford,Connecticut,2024-03-01,290,293,0.77,1359439,$42.57 B
210,HUM,Humana,Health Care,Louisville,Kentucky,2024-03-01,350,352,0.55,1535194,$42.47 B
211,GEHC,GE HealthCare,Health Care,Chicago,Illinois,2024-03-01,91,92,1.78,2695791,$42.22 B
212,BK,Bank of New York Mellon,Financials,New York City,New York,2024-03-01,55,55,-0.8,2827936,$42.14 B
213,AME,Ametek,Industrials,Berwyn,Pennsylvania,2024-03-01,180,180,0.32,1346471,$41.74 B
214,CNC,Centene Corporation,Health Care,St. Louis,Missouri,2024-03-01,78,77,-0.1,2567383,$41.71 B
215,FAST,Fastenal,Industrials,Winona,Minnesota,2024-03-01,73,72,-0.22,3170912,$41.68 B
216,KMB,Kimberly-Clark,Consumer Staples,Irving,Texas,2024-03-01,121,122,0.96,1906211,$41.40 B
217,AMP,Ameriprise Financial,Financials,Minneapolis,Minnesota,2024-03-01,407,410,0.72,442110,$41.18 B
218,JCI,Johnson Controls,Industrials,Cork,Ireland,2024-03-01,59,60,1.61,3543832,$40.97 B
219,ALL,Allstate,Financials,Northbrook,Illinois,2024-03-01,158,155,-2.09,2284518,$40.81 B
220,A,Agilent Technologies,Health Care,Santa Clara,California,2024-03-01,137,139,1.48,1530991,$40.75 B
221,KDP,Keurig Dr Pepper,Consumer Staples,Burlington,Massachusetts,2024-03-01,28,29,1.28,47142398,$40.63 B
222,FIS,Fidelity National Information Services,Financials,Jacksonville,Florida,2024-03-01,69,69,-0.06,6708117,$39.90 B
223,LHX,L3Harris,Industrials,Melbourne,Florida,2024-03-01,211,209,-0.67,1008197,$39.89 B
224,SYY,Sysco,Consumer Staples,Houston,Texas,2024-03-01,80,79,-1.05,2209166,$39.81 B
225,DOW,Dow Inc.,Materials,Midland,Michigan,2024-03-01,55,55,-0.18,4622044,$39.17 B
226,CTSH,Cognizant,Information Technology,Teaneck,New Jersey,2024-03-01,78,78,-0.37,4441580,$39.14 B
227,PRU,Prudential Financial,Financials,Newark,New Jersey,2024-03-01,108,108,-0.76,1361468,$38.80 B
228,OTIS,Otis Worldwide,Industrials,Farmington,Connecticut,2024-03-01,95,95,0.51,1698850,$38.79 B
229,KMI,Kinder Morgan,Energy,Houston,Texas,2024-03-01,17,17,0.46,10954431,$38.75 B
230,YUM,Yum! Brands,Consumer Discretionary,Louisville,Kentucky,2024-03-01,137,137,-0.03,1704771,$38.66 B
231,LVS,Las Vegas Sands,Consumer Discretionary,Las Vegas,Nevada,2024-03-01,53,51,-3.97,10343911,$38.65 B
232,HSY,Hershey's,Consumer Staples,Hershey,Pennsylvania,2024-03-01,187,188,0.1,1283770,$38.35 B
233,CMI,Cummins,Industrials,Columbus,Indiana,2024-03-01,271,270,-0.27,1812807,$38.34 B
234,CTVA,Corteva,Materials,Indianapolis,Indiana,2024-03-01,53,53,0.32,3766765,$37.66 B
