Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
198,NUE,Nucor,Materials,"Charlotte, North Carolina",2023-12-22,175,176,0.6627719084921799,1377901,1649260,$43.91 B
199,MSCI,MSCI,Financials,"New York City, New York",2023-12-22,536,543,1.3667702815618121,334133,386093,$43.85 B
200,TEL,TE Connectivity,Information Technology,"Schaffhausen, Switzerland",2023-12-22,141,140,-0.18176838136450024,984087,1443750,$43.72 B
201,AEP,American Electric Power,Utilities,"Columbus, Ohio",2023-12-22,82,81,-0.49317922344556664,2126370,3767464,$42.72 B
202,WMB,Williams Companies,Energy,"Tulsa, Oklahoma",2023-12-22,34,34,0.02195590435748672,4130668,7653943,$42.58 B
203,TRV,Travelers Companies (The),Financials,"New York City, New York",2023-12-22,184,185,0.3579685683067062,1110221,1469042,$42.38 B
204,LEN,Lennar,Consumer Discretionary,"Miami, Florida",2023-12-22,148,148,-0.06503600334426538,1764653,2634983,$42.06 B
205,IQV,IQVIA,Health Care,"Durham, North Carolina",2023-12-22,228,228,0.08037925001800143,810931,1106099,$41.96 B
206,O,Realty Income,Real Estate,"San Diego, California",2023-12-22,57,57,-0.052566269503253736,5459986,8128665,$41.63 B
207,DLR,Digital Realty,Real Estate,"Austin, Texas",2023-12-22,133,133,0.39036046831650206,1499720,2457609,$41.54 B
208,GWW,W. W. Grainger,Industrials,"Lake Forest, Illinois",2023-12-22,827,831,0.4490846435107876,157083,230999,$41.23 B
209,A,Agilent Technologies,Health Care,"Santa Clara, California",2023-12-22,138,139,0.4664701039772648,1197130,1904271,$41.02 B
