Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
35,CSCO,Cisco,Information Technology,"San Jose, California",2023-12-22,49,50,2.04,18764314,23554517,$204.15 B
36,TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",2023-12-22,521,518,-0.58,1578020,2016160,$200.38 B
37,LIN,Linde plc,Materials,"Guildford, United Kingdom",2023-12-22,411,409,-0.49,1697400,2672375,$198.37 B
38,INTC,Intel,Information Technology,"Santa Clara, California",2023-12-22,46,45,-2.17,26159768,43867264,$192.63 B
39,ABT,Abbott,Health Care,"North Chicago, Illinois",2023-12-22,107,108,0.93,5142821,5733710,$187.60 B
40,NKE,"Nike, Inc.",Consumer Discretionary,"Washington County, Oregon",2023-12-22,121,121,0.0,6716958,8191954,$184.36 B
41,TMUS,T-Mobile US,Communication Services,"Bellevue, Washington",2023-12-22,156,156,0.0,3282101,5092083,$180.71 B
42,WFC,Wells Fargo,Financials,"San Francisco, California",2023-12-22,50,49,-2.0,20508361,23099496,$180.35 B
43,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",2023-12-22,44,44,0.0,17894958,23890804,$179.92 B
44,INTU,Intuit,Information Technology,"Mountain View, California",2023-12-22,610,618,1.31,1527802,1572358,$173.12 B
45,DIS,Walt Disney,Communication Services,"Burbank, California",2023-12-22,92,92,0.0,9037666,11691588,$169.96 B
46,DHR,Danaher Corporation,Health Care,"Washington, D.C.",2023-12-22,228,226,-0.88,2270371,3381014,$167.33 B
47,VZ,Verizon,Communication Services,"New York City, New York",2023-12-22,37,37,0.0,21713482,24718456,$158.37 B
48,QCOM,Qualcomm,Information Technology,"San Diego, California",2023-12-22,142,141,-0.7,7828865,9602480,$157.66 B
49,BA,Boeing,Industrials,"Arlington, Virginia",2023-12-22,260,260,0.0,6065966,6812847,$157.54 B
50,PFE,Pfizer,Health Care,"New York City, New York",2023-12-22,26,27,3.85,62206249,69903162,$152.79 B
